id,county,pool_name,address,city,zip,inspection_date,findings
1,DeKalb,CHATEAU AT DUNWOODY CONDOMINIUMS,4430 TILLY MILL ROAD,DORAVILLE,30360,5/29/2012,No
2,DeKalb,THE RETREAT APTS. (FRONT POOL),3475 PLEASANTBROOK VILLAGE LN.,DORAVILLE,30340,5/25/2012,No
3,DeKalb,JASMINE AT WINTERS CHAPEL APTS. (POOL 1),4335 WINTERS CHAPEL ROAD,ATLANTA,30360,5/29/2012,No
4,DeKalb,DUNAIRE PARK & POOL,611 COLLINGWOOD DRIVE,DECATUR,30032,5/25/2012,No
5,DeKalb,NORTHEAST PLAZA APTS.,3506 BUFORD HIGHWAY N.E.,ATLANTA,30329,5/24/2012,No
6,DeKalb,DOUBLETREE HOTEL,2061 N. DRUID HILLS ROAD N.E.,ATLANTA,30329,5/24/2012,No
7,DeKalb,MARQUIS AT LENOX APTS.,1750 BRIARWOOD ROAD N.E.,ATLANTA,30329,5/24/2012,Yes
8,DeKalb,SUMMERLYN PARK APTS.,421 MEADOWOOD DRIVE,LITHONIA,30038,5/24/2012,No
9,DeKalb,WINDCHASE CONDOMINIUMS,606 WINDCHASE LN.,STONE MOUNTAIN,30083,5/24/2012,Yes
10,DeKalb,MARQUIS FOREST APTS.,3330 MOUNTAIN DRIVE,DECATUR,30032,5/24/2012,Yes
11,DeKalb,LINDEN RIDGE APTS.,5400 MEMORIAL DRIVE,STONE MOUNTAIN,30083,5/24/2012,No
12,DeKalb,ALEXANDER PERIMETER 2000 APTS.,70 PERIMETER CENTER EAST,ATLANTA,30346,5/24/2012,No
13,DeKalb,CARMEL CREEK APTS.,3658 BUFORD HIGHWAY N.E.,ATLANTA,30329,5/24/2012,Yes
14,DeKalb,AZALEA RIDGE (CLUBHOUSE POOL),3214 VALLEY BLUFF DRIVE,DORAVILLE,30340,5/24/2012,No
15,DeKalb,AZALEA RIDGE (MAIN POOL),3214 VALLEY BLUFF DRIVE,DORAVILLE,30340,5/24/2012,Yes
16,DeKalb,GABLES OF ROCK SPRINGS II APTS.,550 ROCK SPRINGS COURT,ATLANTA,30306,5/24/2012,No
17,DeKalb,WILLIAMSBURG APTS.,1057 N. JAMESTOWN ROAD,DECATUR,30033,5/24/2012,No
18,DeKalb,GABLES ROCK SPRINGS APTS. PHASE III (LOWER POOL),1425 ROCK SPRINGS CIRCLE,ATLANTA,30306,5/24/2012,No
19,DeKalb,GABLES MONTCLAIR APTS.,1386 CLAIRMONT ROAD,DECATUR,30033,5/24/2012,No
20,DeKalb,HIGHLAND SQUARE APTS.,1400 BRIARCLIFF ROAD N.E.,ATLANTA,30306,5/24/2012,No
21,DeKalb,SHAMROCK PLACE APTS.,2316 LAWRENCEVILLE HIGHWAY,DECATUR,30033,5/24/2012,Yes
22,DeKalb,LES JARDINS APTS.,3207 HENDERSON MILL ROAD N.E.,ATLANTA,30341,5/24/2012,Yes
23,DeKalb,LODGE ATLANTA HOTEL,4422 NORTHEAST EXPRESSWAY,DORAVILLE,30340,5/24/2012,No
24,DeKalb,SPRING HARBOR HOMEOWNERS ASSOCIATION INC.,3949 PLEASANTDALE ROAD,DORAVILLE,30340,5/24/2012,No
25,DeKalb,MARQUIS CREST APTS.,37 TREEVIEW DRIVE,LITHONIA,30038,5/24/2012,Yes
26,DeKalb,RESERVE AT STONE CREEK APTS. (INDOOR POOL),1420 S. HAIRSTON ROAD,STONE MOUNTAIN,30088,5/23/2012,Yes
27,DeKalb,STAYBRIDGE SUITES-PERIMETER (POOL),4601 RIDGEVIEW ROAD,ATLANTA,30338,5/24/2012,No
28,DeKalb,GABLES METROPOLITAN III APTS. (POOL A),302 PERIMETER CENTER NORTH,ATLANTA,30346,5/24/2012,No
29,DeKalb,GABLES METROPOLITAN APTS. (POOL C),350 PERIMETER CENTER NORTH,DUNWOODY,30346,5/24/2012,No
30,DeKalb,GABLES METROPOLITAN III APTS. (POOL B),302 PERIMETER CENTER NORTH,ATLANTA,30346,5/24/2012,No
31,DeKalb,STONECLIFF TOWNHOMES,5471 E. MOUNTAIN STREET,STONE MOUNTAIN,30083,5/24/2012,Yes
32,DeKalb,AUSTIN MEADOWS CONDOMINIUM ASSOCIATION INC.,3921 FIREOAK DRIVE,DECATUR,30032,5/24/2012,No
33,DeKalb,LIONSHEAD S.D. HOMEOWNERS' ASSOC.,3080 LIONS CLUB LN.,LITHONIA,30038,5/24/2012,No
34,DeKalb,BROOKS MILL COMMUNITY,4009 BROOKS MILL DRIVE,LITHONIA,30038,5/24/2012,No
35,DeKalb,GABLES ROCK SPRINGS APTS. PHASE III (UPPER POOL),1425 ROCK SPRINGS CIRCLE,ATLANTA,30306,5/24/2012,No
36,DeKalb,THE AVENUES APTS. (POOL 2),2515 NORTHEAST EXPRESSWAY N.E.,ATLANTA,30345,5/24/2012,No
37,DeKalb,TEMPO CONTINENTAL APTS.,1322 BRIARWOOD ROAD,ATLANTA,30319,5/24/2012,Yes
